,index,visitor_ip,average_time_per_session_per_user
241,77,1.186.37.2,34630.0
242,20905,111.93.81.86,34610.5
243,34589,117.211.84.82,34586.2857143
244,2317,1.39.12.82,34537.3333333
245,53456,125.20.10.170,34486.1666667
246,78721,45.114.39.50,34485.75
247,25779,115.248.69.17,34450.6666667
248,26653,115.250.94.253,34428.5
249,38800,117.239.227.162,34425.4285714
250,28616,116.50.60.180,34330.1428571
251,88413,61.246.197.18,34327.0
252,19698,107.167.109.141,34259.0
253,67789,184.75.208.210,34199.8
254,72615,223.176.170.194,34142.6666667
255,43926,121.242.175.237,34138.6666667
256,3120,1.39.34.24,34130.25
257,71172,210.212.15.114,34129.8
258,57840,15.219.169.69,34071.2
259,77795,42.106.175.147,34056.5
260,15423,106.51.132.214,34053.0
261,8819,103.24.126.4,34050.6666667
262,71221,210.212.203.66,34043.625
263,3112,1.39.34.226,33974.0
264,59455,168.235.197.181,33937.2857143
265,25671,115.248.158.125,33908.0
266,75096,27.100.12.30,33898.0
267,19903,107.167.112.31,33895.6666667
268,9857,103.254.172.162,33877.75
269,54770,14.139.69.199,33846.25
270,22103,112.79.39.209,33844.75
271,3539,1.39.60.221,33830.25
272,19763,107.167.109.203,33791.3333333
273,53757,125.99.173.185,33740.0
274,20196,110.232.252.2,33736.5
275,38805,117.239.230.98,33723.6
276,2745,1.39.15.44,33713.0
277,60517,175.101.68.68,33703.6666667
278,26973,115.98.116.190,33674.3333333
279,20821,111.93.246.18,33656.75
280,19541,107.167.108.208,33608.75
281,60573,175.41.133.20,33563.8636364
282,23160,115.111.248.134,33534.0
283,68072,196.1.114.80,33515.1666667
284,84347,59.145.102.114,33467.6
285,77223,37.228.104.130,33465.3333333
286,77429,37.228.105.31,33420.0
287,83572,49.248.85.61,33415.5
288,59233,168.235.194.202,33404.0
289,4275,1.39.96.123,33380.75
290,55038,14.140.90.34,33362.75
291,2958,1.39.33.183,33359.0
292,19327,107.167.107.201,33345.6
293,89566,70.39.187.75,33316.5
294,59439,168.235.197.140,33307.8
295,59583,168.235.198.31,33305.0
296,22859,114.143.233.3,33294.5
297,1810,1.38.19.56,33262.5
298,21928,112.79.37.95,33189.0
299,16245,106.51.243.84,33148.5
300,22117,112.79.39.233,33125.2
301,77483,37.228.106.123,33078.6
302,90134,8.37.227.21,33059.3333333
303,84046,54.169.192.103,33002.5349544
304,84386,59.145.201.195,32983.4
305,78298,43.247.156.6,32976.5
306,10518,103.44.12.33,32927.0
307,61069,180.188.243.25,32849.0714286
308,21687,112.79.36.108,32845.6428571
309,89530,70.39.187.227,32830.5454545
310,59459,168.235.197.189,32791.2926829
311,54787,14.139.69.65,32777.25
312,21718,112.79.36.157,32728.0
313,82400,49.206.250.98,32693.5
314,19702,107.167.109.145,32673.0
315,2058,1.38.23.63,32647.5
316,53571,125.22.43.16,32626.15
317,55138,14.141.149.50,32594.4
318,9924,103.255.146.206,32567.755102
319,59837,171.25.193.20,32537.0
320,82057,49.205.73.50,32536.0
321,4191,1.39.80.73,32534.0
322,59417,168.235.197.102,32509.0
323,53192,125.16.26.178,32508.25
324,89937,8.37.225.189,32493.0
325,4022,1.39.63.238,32488.0
326,61081,180.188.249.252,32488.0
327,42388,120.138.116.67,32474.3333333
328,72625,223.176.171.134,32456.6666667
329,89656,72.163.220.25,32451.0
330,2591,1.39.14.35,32449.0
331,61019,180.179.142.21,32431.3333333
332,59260,168.235.194.59,32431.0
333,77263,37.228.104.206,32420.3333333
334,54287,14.139.122.130,32414.7142857
335,69008,202.168.94.17,32410.8571429
336,34811,117.212.29.164,32404.0
337,89983,8.37.225.44,32394.5
338,3072,1.39.34.161,32387.0
339,81984,49.205.43.253,32359.0
340,2189,1.39.12.106,32339.0
341,3986,1.39.63.192,32292.2
342,59426,168.235.197.116,32262.8
343,20669,111.93.143.188,32260.5
344,75970,27.4.56.45,32203.0
345,74931,23.236.124.163,32201.3333333
346,20006,108.59.8.210,32157.6
347,23421,115.113.220.51,32154.1
348,3685,1.39.61.211,32100.5
349,32014,117.201.211.118,32078.8
350,84054,54.169.79.101,32034.1165312
351,1873,1.38.20.81,32028.4
352,89363,70.39.186.226,31942.0
353,70679,203.223.190.145,31928.5454545
354,55293,14.141.43.178,31852.0
355,21643,112.79.35.36,31785.7
356,90042,8.37.226.246,31704.5
357,9164,103.244.241.214,31686.6
358,67795,185.20.4.220,31673.5405405
359,75827,27.34.246.226,31667.0
360,4066,1.39.63.79,31630.0
361,59432,168.235.197.124,31615.25
362,55391,14.142.16.3,31610.25
363,11279,106.186.23.95,31555.4262552
364,54755,14.139.62.130,31545.4
365,19504,107.167.108.165,31541.5555556
366,59588,168.235.198.52,31514.0
367,68208,198.175.152.210,31496.03125
368,59287,168.235.195.14,31491.0
369,15549,106.51.135.180,31474.1666667
370,54369,14.139.160.31,31451.0
371,19754,107.167.109.196,31434.1428571
372,75894,27.34.253.10,31422.2222222
373,61990,182.18.179.28,31405.0
374,7725,103.16.69.10,31353.5625
375,54171,14.102.43.2,31348.3333333
376,59235,168.235.194.205,31343.0
377,59322,168.235.195.25,31329.0
378,69484,202.65.148.252,31317.0
379,28346,116.203.73.67,31270.0
380,71951,220.225.145.34,31254.6666667
381,9271,103.245.47.20,31252.3809524
382,16065,106.51.235.88,31243.5
383,8485,103.230.227.248,31237.0
384,42200,119.235.55.14,31236.3333333
385,22149,112.79.39.66,31229.25
386,52118,123.63.91.121,31227.0
387,3706,1.39.61.24,31222.0
388,89842,8.37.224.24,31216.6206897
389,154,1.186.78.2,31182.0
390,86809,59.94.1.46,31162.0
391,22811,114.143.183.170,31147.5
392,21068,112.110.90.107,31146.0
393,44031,121.244.155.100,31131.4375
394,62184,182.48.232.9,31131.0
395,48599,122.174.192.203,31088.1666667
396,24060,115.119.113.10,31087.75
397,5373,101.221.135.250,31087.0
398,172,1.186.79.41,31087.0
399,27916,116.202.71.162,31086.8666667
400,76173,27.54.175.114,31071.1333333
401,77312,37.228.104.66,31058.5555556
402,55119,14.141.137.58,31056.6666667
403,87313,59.97.26.44,31054.0
404,22150,112.79.39.67,31045.6666667
405,67521,183.87.123.150,31038.0
406,55257,14.141.255.178,31030.0
407,61989,182.18.179.27,31025.25
408,38694,117.239.12.49,31024.0
409,84287,58.68.53.82,30998.2
410,89393,70.39.186.51,30998.0
411,89816,8.37.224.189,30996.8
412,15682,106.51.140.14,30994.0
413,53587,125.22.9.209,30988.6
414,77532,37.228.106.223,30911.6666667
415,1703,1.38.18.175,30894.6666667
416,77818,42.99.164.101,30859.8
417,86515,59.91.91.237,30850.0
418,36730,117.220.86.6,30830.3333333
419,21984,112.79.38.200,30787.3333333
420,22009,112.79.38.235,30782.75
421,65000,182.71.34.59,30758.6666667
422,70775,203.88.23.33,30751.0
423,10408,103.41.35.142,30721.8823529
424,57624,142.245.193.4,30574.12
425,19392,107.167.107.45,30536.0
426,20790,111.93.226.254,30532.6734694
427,19618,107.167.108.56,30492.6666667
428,54133,14.102.116.154,30461.3333333
429,54534,14.139.222.66,30389.3333333
430,55034,14.140.84.78,30355.4444444
431,3866,1.39.62.24,30332.0
432,58559,161.225.129.111,30255.2083333
433,27154,115.99.28.19,30234.6
434,64980,182.71.246.66,30225.75
435,42222,119.42.152.184,30180.25
436,27711,116.202.34.18,30145.4285714
437,19708,107.167.109.151,30145.0
438,54506,14.139.214.178,30137.0
439,27688,116.202.34.127,30127.75
440,19267,107.167.107.141,30120.6666667
441,35588,117.215.185.38,30116.5
442,60560,175.101.9.34,30098.8571429
443,23589,115.115.195.66,30079.0
444,64146,182.69.13.86,30075.3
445,60410,175.101.67.135,30064.25
446,7889,103.18.72.55,30056.6666667
447,89994,8.37.225.59,30036.6
448,53231,125.16.73.46,30035.7142857
449,68470,202.131.103.186,30026.6666667
450,90007,8.37.225.74,30016.3333333
451,4229,1.39.9.195,29990.3333333
452,67984,193.111.136.162,29939.3333333
453,8101,103.224.156.182,29931.1818182
454,20370,111.221.89.160,29911.5
455,69924,203.112.82.2,29873.0
456,71322,210.212.85.151,29867.25
457,89661,72.163.220.3,29866.2222222
458,7736,103.16.70.141,29858.8461538
459,19827,107.167.109.67,29845.9
460,68224,198.203.175.175,29845.4705882
461,9505,103.25.2.65,29842.75
462,75408,27.118.34.30,29815.2307692
463,52024,123.63.222.37,29766.5121951
464,89332,70.39.186.138,29764.0
465,46080,122.164.45.26,29740.2222222
466,2961,1.39.33.188,29732.5
467,8314,103.227.98.119,29729.5
468,2532,1.39.14.187,29725.5
469,4080,1.39.63.99,29721.75
470,10145,103.31.189.210,29688.4285714
471,70100,203.122.7.66,29543.6875
472,79033,46.236.24.54,29538.0909091
473,21561,112.79.35.109,29518.4
474,8055,103.22.237.216,29447.125
475,69289,202.56.196.197,29416.8518519
476,59490,168.235.197.249,29380.8085106
477,61918,182.156.74.42,29331.75
478,60610,178.255.152.2,29327.8
479,77793,42.106.175.145,29291.8333333
480,84051,54.169.77.128,29276.9313305
481,69468,202.65.142.46,29276.0
482,77560,37.228.106.39,29265.0
483,59497,168.235.197.31,29223.0
484,53531,125.21.49.118,29207.75
485,70657,203.217.145.162,29168.6
486,78282,43.247.137.105,29141.2
487,10201,103.37.201.12,29124.0
488,2373,1.39.13.178,29116.3529412
489,53809,128.107.241.181,29111.6666667
490,88916,65.49.14.79,29108.5714286
491,22135,112.79.39.48,29107.8
492,2277,1.39.12.242,29090.25
493,45244,122.162.124.107,29081.6666667
494,53486,125.21.161.2,29058.4634146
495,19855,107.167.109.93,29056.9230769
496,77180,35.0.127.52,29054.25
497,75682,27.251.82.226,29048.0
498,19315,107.167.107.188,29042.0
499,4003,1.39.63.212,29027.6666667
500,68390,199.87.9.9,29001.0
501,60484,175.101.68.115,28996.8
502,77372,37.228.105.176,28995.4285714
503,84344,59.144.98.170,28989.375
504,70873,203.99.196.126,28988.462963
505,77474,37.228.106.111,28972.0
506,88973,66.220.158.113,28938.0
507,1768,1.38.19.167,28931.25
508,21079,112.121.55.7,28901.125
509,88105,61.12.33.34,28888.0
510,9112,103.243.114.106,28873.5555556
511,53497,125.21.183.178,28862.0
512,11018,103.56.252.17,28836.5
513,21973,112.79.38.184,28828.5555556
514,79031,46.236.24.52,28812.8333333
515,3201,1.39.35.138,28750.7
516,72060,220.227.132.226,28743.2857143
517,19815,107.167.109.56,28726.1
518,8811,103.24.125.26,28724.0
519,59456,168.235.197.184,28718.4
520,54786,14.139.69.64,28695.5
521,19301,107.167.107.174,28692.4444444
522,78475,43.249.55.42,28689.5
523,19158,107.161.95.212,28667.0
524,19785,107.167.109.27,28647.6
525,59420,168.235.197.107,28634.0769231
526,65795,182.74.170.18,28626.125
527,10330,103.39.156.230,28606.0
528,23121,115.111.223.51,28600.0
529,19456,107.167.108.112,28563.3333333
530,60335,175.101.16.4,28534.6428571
531,19718,107.167.109.161,28534.125
532,2035,1.38.23.219,28520.25
533,19686,107.167.109.128,28508.3333333
534,2879,1.39.32.5,28481.0
535,77294,37.228.104.250,28448.6842105
536,87083,59.95.64.11,28389.4
537,62040,182.19.54.183,28367.3333333
538,64358,182.69.34.159,28354.4615385
539,60534,175.101.68.99,28335.5
540,54803,14.139.82.6,28292.7857143
541,61785,180.76.15.142,28244.5
542,31950,117.201.168.79,28240.4285714
543,75500,27.124.7.172,28191.0
544,20003,108.171.236.251,28176.0
545,88425,61.246.224.170,28145.3333333
546,19848,107.167.109.87,28140.0
547,74916,23.15.10.112,28129.0
548,21583,112.79.35.152,28096.0769231
549,4397,1.39.96.94,28007.0
550,88790,64.138.2.85,27997.6
551,21636,112.79.35.27,27966.75
552,10045,103.27.171.64,27932.6666667
553,2412,1.39.13.243,27920.1666667
554,1734,1.38.18.86,27907.25
555,59476,168.235.197.224,27890.6923077
556,20864,111.93.52.110,27875.9166667
557,21957,112.79.38.156,27870.8148148
558,4428,1.39.97.33,27866.25
559,75832,27.34.246.240,27857.75
560,21704,112.79.36.141,27844.5714286
561,77428,37.228.105.30,27806.6666667
562,26980,115.98.128.125,27804.4285714
563,54539,14.139.224.146,27797.65
564,68909,202.159.213.9,27795.75
565,19486,107.167.108.144,27793.6666667
566,78498,43.250.252.2,27793.5
567,67981,193.108.184.63,27785.8333333
568,69002,202.167.250.51,27753.0666667
569,77569,37.228.106.5,27751.3333333
570,19857,107.167.109.95,27748.2
571,70000,203.117.117.11,27748.0
572,59487,168.235.197.243,27746.6666667
573,57550,141.0.8.146,27746.3333333
574,58716,163.47.14.170,27731.75
575,54429,14.139.189.40,27729.8571429
576,58551,160.83.96.84,27720.2702703
577,68865,202.153.38.42,27714.0
578,84506,59.161.254.21,27705.5
579,84661,59.177.1.75,27704.0
580,58627,163.47.12.254,27681.0
581,3306,1.39.35.89,27675.0
582,58513,159.153.4.96,27670.6666667
583,19609,107.167.108.46,27662.0
584,5399,101.221.136.122,27647.4285714
585,57171,14.99.158.95,27641.5
586,21172,112.133.229.113,27629.75
587,59242,168.235.194.234,27626.0
588,59323,168.235.195.253,27625.0
589,19733,107.167.109.175,27609.3333333
590,52176,124.123.142.36,27598.6666667
591,89665,72.163.220.6,27588.4615385
592,89960,8.37.225.217,27576.0
593,22044,112.79.38.69,27573.0
594,88863,65.255.37.154,27567.0
595,38674,117.239.105.66,27565.4
596,54712,14.139.45.241,27564.2222222
597,9222,103.245.197.198,27564.0
598,1874,1.38.20.84,27554.3333333
599,23065,115.110.83.195,27548.75
600,19217,107.167.103.82,27533.5
601,8724,103.237.56.10,27532.0
602,76281,27.6.176.122,27506.0
603,75876,27.34.250.243,27505.6666667
604,70783,203.88.23.42,27495.2307692
605,3366,1.39.40.7,27488.6
606,28316,116.203.73.130,27486.2
607,3728,1.39.61.42,27485.6666667
608,77448,37.228.105.61,27482.6666667
609,59256,168.235.194.45,27469.5
610,60489,175.101.68.12,27466.5
611,15492,106.51.134.103,27460.1176471
612,10736,103.5.187.10,27454.3333333
613,77452,37.228.105.68,27453.6666667
614,89487,70.39.187.177,27429.0
615,21138,112.133.215.242,27409.4285714
616,68238,198.36.94.34,27394.25
617,38780,117.239.212.195,27379.625
618,62001,182.19.14.197,27357.375
619,81416,49.204.26.215,27353.6875
620,43846,121.240.117.41,27334.0
621,77251,37.228.104.187,27319.5
622,54657,14.139.243.162,27311.5208333
623,89659,72.163.220.28,27310.4285714
624,10694,103.5.115.30,27289.1111111
625,89441,70.39.187.122,27268.6
626,59463,168.235.197.20,27221.2222222
627,88251,61.16.177.190,27219.1666667
628,8215,103.226.201.222,27214.75
629,67904,192.204.82.215,27209.5
630,59207,168.235.194.14,27185.0
631,66060,182.74.70.86,27171.6666667
632,57503,141.0.10.95,27166.0
633,73760,223.196.21.47,27161.8
634,59736,170.146.221.252,27158.0
635,89238,70.39.185.217,27156.4
636,70798,203.89.154.131,27147.8125
637,78414,43.249.226.50,27144.8
638,19442,107.167.107.97,27142.0
639,53134,125.16.113.58,27138.7857143
640,19771,107.167.109.210,27135.6
641,69637,202.79.203.59,27125.5
642,19604,107.167.108.40,27121.8333333
643,64969,182.71.230.154,27112.5
644,59167,167.83.199.25,27109.5
645,77572,37.228.106.55,27102.0
646,54932,14.140.191.35,27095.0
647,43989,121.243.26.254,27092.90625
648,74843,223.30.241.82,27092.1111111
649,9482,103.25.0.50,27090.5
650,47267,122.169.187.35,27086.4
651,46567,122.167.228.71,27084.6666667
652,163,1.186.78.9,27077.5
653,59676,168.235.200.56,27077.5
654,27621,116.202.32.107,27061.0
655,89195,70.39.185.155,27053.5
656,54714,14.139.45.243,27050.6363636
657,3788,1.39.62.133,27048.0
658,28664,116.68.122.1,27039.0
659,16243,106.51.243.75,27037.0
660,1706,1.38.18.191,27027.25
661,27340,116.199.173.2,27024.9473684
662,64974,182.71.239.6,27015.5
663,7726,103.16.69.11,26962.9166667
664,68555,202.133.60.66,26953.9677419
665,5272,101.221.134.166,26949.0
666,74911,23.101.29.147,26947.3448276
667,8537,103.231.46.2,26946.3333333
668,19802,107.167.109.43,26942.2
669,77868,43.224.128.91,26931.0
670,51803,123.239.91.45,26930.0
671,19613,107.167.108.5,26927.8
672,70782,203.88.23.41,26923.0
673,59425,168.235.197.114,26910.375
674,16103,106.51.240.236,26908.8
675,59404,168.235.196.51,26902.0
676,70162,203.129.241.87,26900.8888889
677,22074,112.79.39.136,26897.6666667
678,8394,103.228.35.26,26889.25
679,31438,117.20.40.21,26881.0
680,19288,107.167.107.162,26881.0
681,77284,37.228.104.233,26876.2857143
682,59659,168.235.200.239,26860.0
683,4291,1.39.96.159,26854.0
684,19241,107.167.107.113,26843.2857143
685,64803,182.71.117.102,26840.0
686,43587,120.62.196.222,26829.1428571
687,2289,1.39.12.33,26817.0
688,27694,116.202.34.139,26810.5
689,3652,1.39.61.159,26799.8
690,19791,107.167.109.32,26787.1111111
691,90508,95.172.68.155,26777.3333333
692,22054,112.79.38.90,26756.6666667
693,52623,124.124.32.65,26753.0
694,60353,175.101.18.141,26751.3333333
695,89637,72.163.217.104,26750.0
696,70020,203.117.117.32,26741.0
697,9588,103.251.186.2,26733.1333333
698,37170,117.222.236.251,26715.25
699,69354,202.62.83.133,26713.0
700,70169,203.13.168.45,26703.6
701,59467,168.235.197.210,26694.9285714
702,75177,27.106.62.194,26680.3333333
703,76027,27.49.228.151,26677.1111111
704,82754,49.207.186.125,26674.3333333
705,53258,125.17.117.227,26668.0769231
706,66666,183.82.208.20,26659.0
707,59696,168.63.139.43,26657.5
708,65468,182.73.157.242,26651.5
709,77732,38.100.21.118,26648.0
710,2180,1.39.11.90,26645.3333333
711,70140,203.129.195.114,26638.0
712,53129,125.16.0.97,26631.4545455
713,85868,59.89.107.50,26630.5
714,3868,1.39.62.242,26627.0
715,62620,182.64.25.149,26615.0
716,22163,112.79.39.9,26612.0
717,77264,37.228.104.207,26610.0
718,77541,37.228.106.241,26609.0
719,19852,107.167.109.90,26604.6
720,5330,101.221.135.107,26604.0
721,20839,111.93.30.66,26595.0769231
722,8136,103.224.37.5,26592.0
723,19319,107.167.107.193,26586.3333333
724,23369,115.112.98.186,26576.8181818
725,61217,180.215.120.238,26576.0
726,89061,67.131.104.14,26574.0
727,59271,168.235.194.98,26558.0
728,59375,168.235.196.177,26539.3684211
729,10080,103.28.254.203,26537.2727273
730,60466,175.101.67.79,26536.6666667
731,44671,122.160.30.225,26530.6666667
732,59350,168.235.195.93,26521.0
733,60389,175.101.60.90,26514.0
734,2813,1.39.32.151,26506.0
735,19834,107.167.109.74,26503.1111111
736,3452,1.39.46.61,26491.0
737,54510,14.139.217.114,26488.6666667
738,54618,14.139.238.162,26487.6666667
739,74988,23.236.125.171,26481.75
740,65627,182.73.49.22,26458.3333333
741,61233,180.215.121.111,26457.8333333
742,8754,103.238.158.251,26444.5588235
743,70666,203.217.145.35,26442.3333333
744,59421,168.235.197.109,26432.125
745,8026,103.21.234.176,26430.3333333
746,89345,70.39.186.191,26426.3333333
